Country,City
USA,New York
Canada,Toronto
UK,London
Australia,Sydney
Germany,Berlin
France,Paris
Italy,Rome
Spain,Madrid
Japan,Tokyo
China,Beijing
India,Mumbai
Brazil,São Paulo
Russia,Moscow
Mexico,Mexico City
South Korea,Seoul
Argentina,Buenos Aires
South Africa,Cape Town
Egypt,Cairo
Turkey,Istanbul
Netherlands,Amsterdam
Sweden,Stockholm
Norway,Oslo
Denmark,Copenhagen
Finland,Helsinki
Ireland,Dublin
Switzerland,Zurich
Belgium,Brussels
Austria,Vienna
Portugal,Lisbon
Greece,Athens
Hungary,Budapest
Poland,Warsaw
Czech Republic,Prague
Romania,Bucharest
Bulgaria,Sofia
Croatia,Zagreb
Slovakia,Bratislava
Slovenia,Ljubljana
Serbia,Belgrade
Bosnia and Herzegovina,Sarajevo
Montenegro,Podgorica
Albania,Tirana
North Macedonia,Skopje
Kosovo,Pristina
Moldova,Chisinau
Lithuania,Vilnius
Latvia,Riga
Estonia,Tallinn
Ukraine,Kyiv
Belarus,Minsk
Georgia,Tbilisi
Armenia,Yerevan
Azerbaijan,Baku
Kazakhstan,Nur-Sultan
Uzbekistan,Tashkent
Kyrgyzstan,Bishkek
Tajikistan,Dushanbe
Turkmenistan,Ashgabat
Israel,Jerusalem
Saudi Arabia,Riyadh
United Arab Emirates,Dubai
Qatar,Doha
Kuwait,Kuwait City
Oman,Muscat
Bahrain,Manama
Iraq,Baghdad
Iran,Tehran
Pakistan,Karachi
Bangladesh,Dhaka
Sri Lanka,Colombo
Nepal,Kathmandu
Myanmar,Yangon
Thailand,Bangkok
Vietnam,Hanoi
Malaysia,Kuala Lumpur
Singapore,Singapore
Indonesia,Jakarta
Philippines,Manila
New Zealand,Wellington
Fiji,Suva
Papua New Guinea,Port Moresby
Chile,Santiago
Peru,Lima
Colombia,Bogotá
Venezuela,Caracas
Ecuador,Quito
Bolivia,La Paz
Paraguay,Asunción
Uruguay,Montevideo
Guyana,Georgetown
Suriname,Paramaribo
Trinidad and Tobago,Port of Spain
Lebanon,Beirut
